RegionName,State,CountyName,Month,AverageHomePrice,Date
Sahuarita,AZ,Pima,1996-06,109800.0,1996-06-01
Fountain Hills,AZ,Maricopa,1996-06,169500.0,1996-06-01
Green Valley,AZ,Pima,1996-06,114300.0,1996-06-01
Tanque Verde,AZ,Pima,1996-06,197000.0,1996-06-01
Sedona,AZ,Yavapai,1996-06,204400.0,1996-06-01
San Luis,AZ,Yuma,1996-06,67000.0,1996-06-01
Eloy,AZ,Pinal,1996-06,,1996-06-01
Marana,AZ,Pima,1996-06,126900.0,1996-06-01
Show Low,AZ,Navajo,1996-06,,1996-06-01
Flowing Wells,AZ,Pima,1996-06,73600.0,1996-06-01
Rio Rico,AZ,Santa Cruz,1996-06,84700.0,1996-06-01
Safford,AZ,Graham,1996-06,69300.0,1996-06-01
Winslow,AZ,Navajo,1996-06,51700.0,1996-06-01
Coolidge,AZ,Pinal,1996-06,60900.0,1996-06-01
Tucson Estates,AZ,Pima,1996-06,118500.0,1996-06-01
Chino Valley,AZ,Yavapai,1996-06,112200.0,1996-06-01
Camp Verde,AZ,Yavapai,1996-06,94700.0,1996-06-01
Globe,AZ,Gila,1996-06,63200.0,1996-06-01
Paradise Valley,AZ,Maricopa,1996-06,,1996-06-01
Payson,AZ,Gila,1996-06,114200.0,1996-06-01
Parker,AZ,La Paz,1996-06,,1996-06-01
Litchfield Park,AZ,Maricopa,1996-06,130800.0,1996-06-01
Benson,AZ,Cochise,1996-06,74000.0,1996-06-01
Hereford,AZ,Cochise,1996-06,113000.0,1996-06-01
Willcox,AZ,Cochise,1996-06,51000.0,1996-06-01
Gold Canyon,AZ,Pinal,1996-06,130600.0,1996-06-01
Bisbee,AZ,Cochise,1996-06,57300.0,1996-06-01
Page,AZ,Coconino,1996-06,123000.0,1996-06-01
Huachuca City,AZ,Cochise,1996-06,67100.0,1996-06-01
Tolleson,AZ,Maricopa,1996-06,63100.0,1996-06-01
Williams,AZ,Coconino,1996-06,99200.0,1996-06-01
Mohave Valley,AZ,Mohave,1996-06,83000.0,1996-06-01
Tortolita,AZ,Pima,1996-06,179700.0,1996-06-01
Wickenburg,AZ,Maricopa,1996-06,136600.0,1996-06-01
South Tucson,AZ,Pima,1996-06,48000.0,1996-06-01
Catalina,AZ,Pima,1996-06,143700.0,1996-06-01
Golden Valley,AZ,Mohave,1996-06,63800.0,1996-06-01
Valencia West,AZ,Pima,1996-06,97400.0,1996-06-01
Pinetop,AZ,Navajo,1996-06,138100.0,1996-06-01
Lakeside,AZ,Navajo,1996-06,88800.0,1996-06-01
Miami,AZ,Gila,1996-06,,1996-06-01
Cave Creek,AZ,Maricopa,1996-06,246700.0,1996-06-01
Wellton,AZ,Yuma,1996-06,,1996-06-01
Thatcher,AZ,Graham,1996-06,86700.0,1996-06-01
